ID_REF	VALUE
1007_s_at	10.3693
1053_at	6.3699
117_at	4.1976
121_at	3.1192
1255_g_at	2.3478
1294_at	5.3927
1316_at	5.3494
1320_at	4.7286
1405_i_at	3.9286
1431_at	4.1506
1438_at	4.1022
1487_at	9.1643
1494_f_at	3.0318
1552256_a_at	5.7527
1552257_a_at	10.144
1552258_at	3.4584
1552261_at	2.8788
1552263_at	5.6897
1552264_a_at	5.1864
1552266_at	3.2947
1552269_at	2.629
1552271_at	2.7268
1552272_a_at	3.6428
1552274_at	4.1337
1552275_s_at	6.0939
1552276_a_at	3.0231
1552277_a_at	6.8642
1552278_a_at	3.0411
1552279_a_at	3.1968
1552280_at	2.1264
1552281_at	3.0117
1552283_s_at	6.4558
1552286_at	6.4859
1552287_s_at	9.0549
1552288_at	2.7912
1552289_a_at	2.3568
1552291_at	8.794
1552293_at	3.4615
1552295_a_at	3.3456
1552296_at	3.3089
1552299_at	4.3433
1552301_a_at	3.7152
1552302_at	4.9529
1552303_a_at	2.9241
1552304_at	3.3094
1552306_at	4.4016
1552307_a_at	5.6613
1552309_a_at	8.6081
1552310_at	6.3237
1552311_a_at	3.4564
1552312_a_at	3.2313
1552314_a_at	3.6879
1552315_at	2.9255
1552316_a_at	4.1487
1552318_at	4.2899
1552319_a_at	4.7176
1552320_a_at	3.5706
1552321_a_at	3.0516
1552322_at	3.6363
1552323_s_at	4.4121
1552325_at	2.9112
1552326_a_at	3.2589
1552327_at	4.8321
1552329_at	8.1361
1552330_at	5.2329
1552332_at	4.0173
1552334_at	8.7649
1552335_at	2.8533
1552337_s_at	2.4561
1552338_at	2.5177
1552340_at	3.3178
1552343_s_at	7.0215
1552344_s_at	3.666
1552347_at	6.9752
1552348_at	3.5979
1552349_a_at	2.7653
1552354_at	2.3255
1552355_s_at	3.2102
1552359_at	2.8815
1552360_a_at	8.9764
1552362_a_at	5.1298
1552364_s_at	2.7672
1552365_at	6.2198
1552367_a_at	3.7558
1552368_at	2.1824
1552370_at	6.0633
1552372_at	2.0279
1552373_s_at	2.6629
1552375_at	4.9772
1552377_s_at	5.8422
1552378_s_at	3.5974
1552379_at	3.0043
1552381_at	3.7123
1552383_at	4.0529
1552384_a_at	2.7157
1552386_at	2.1765
1552388_at	3.091
1552389_at	3.3307
1552390_a_at	2.9004
1552391_at	3.6182
1552393_at	2.9098
1552394_a_at	3.0678
1552395_at	1.9876
1552396_at	3.4454
1552398_a_at	4.2137
1552399_a_at	3.0567
1552400_a_at	4.3687
1552401_a_at	3.189
1552402_at	3.4965
1552405_at	2.1237
1552408_at	2.0114
1552409_a_at	3.4395
1552410_at	4.0547
1552411_at	1.6349
1552412_a_at	2.4512
1552414_at	3.2125
1552415_a_at	2.5633
1552417_a_at	3.6382
1552418_at	3.1468
1552419_s_at	2.0805
1552421_a_at	1.9922
1552422_at	3.2632
1552423_at	5.6804
1552424_at	2.7801
1552425_a_at	3.2919
1552426_a_at	12.1638
1552427_at	3.3251
1552430_at	2.7069
1552432_at	2.9395
1552436_a_at	2.2876
1552438_a_at	2.3296
1552439_s_at	3.248
1552440_at	2.8854
1552445_a_at	2.0057
1552448_a_at	2.1541
1552449_a_at	2.2082
1552450_a_at	2.6797
1552452_at	2.353
1552453_a_at	3.4377
1552455_at	4.1189
1552456_a_at	2.862
1552457_a_at	3.3722
1552458_at	2.4959
1552459_a_at	2.7485
1552461_at	1.861
1552463_at	2.2915
1552466_x_at	3.6203
1552467_at	3.0851
1552468_a_at	2.9926
1552470_a_at	2.9469
1552472_a_at	6.117
1552473_at	3.546
1552474_a_at	4.6321
1552476_s_at	2.4888
1552477_a_at	7.5112
1552478_a_at	5.3532
1552480_s_at	2.8164
1552481_s_at	8.7889
1552482_at	5.0266
1552484_at	2.8037
1552485_at	4.7621
1552486_s_at	5.4183
1552487_a_at	7.8224
1552489_s_at	2.9007
1552490_at	2.779
1552491_at	4.8303
1552493_s_at	2.6143
1552494_at	3.0681
1552496_a_at	5.5338
1552497_a_at	2.4971
1552498_at	2.7862
1552499_a_at	3.1082
1552501_a_at	2.9203
1552502_s_at	4.7604
1552503_at	2.5325
1552504_a_at	3.323
1552506_at	2.3019
1552507_at	2.7056
1552508_at	2.6464
1552509_a_at	9.3058
1552510_at	2.6432
1552511_a_at	2.4013
1552514_at	3.2202
1552515_at	3.1223
1552516_a_at	3.1325
1552518_s_at	4.3626
1552519_at	5.7376
1552520_at	3.341
1552521_a_at	2.2246
1552522_at	1.9928
1552523_a_at	2.961
