,ID_REF,C vs P0 pvalue,C vs P0 log2fc,Ensembl_ID,Gene_Name
6,117_at,0.017716538033349463,1.3074958333333329,ENSG00000173110,HSPA6
7,117_at,0.017716538033349463,1.3074958333333329,ENSG00000225217,HSPA7
15,1405_i_at,0.000311036838782563,2.009720833333334,ENSG00000274233,CCL5
16,1405_i_at,0.000311036838782563,2.009720833333334,ENSG00000271503,CCL5
278,1552584_at,0.0005027266813324772,2.454879166666667,ENSG00000096996,IL12RB1
1219,1553583_a_at,0.019716836657915245,1.0574875000000006,ENSG00000151365,THRSP
1755,1554240_a_at,0.002953110916686298,1.5981750000000008,ENSG00000005844,ITGAL
2166,1554712_a_at,0.007737721610861769,1.2434333333333334,ENSG00000156689,GLYATL2
2332,1554899_s_at,0.0004007891425113097,1.4515375000000006,ENSG00000158869,FCER1G
2708,1555349_a_at,0.006702769951815961,1.1129625,ENSG00000160255,ITGB2
3056,1555759_a_at,0.003418024984128234,1.0220749999999996,ENSG00000274233,CCL5
3057,1555759_a_at,0.003418024984128234,1.0220749999999996,ENSG00000271503,CCL5
3151,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000235540,PSMB8-AS1
3152,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000231591,PSMB8-AS1
3153,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000206232,PSMB8-AS1
3154,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000233089,PSMB8-AS1
3155,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000206296,PSMB8-AS1
3156,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000234365,PSMB8-AS1
3157,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000233140,PSMB8-AS1
3158,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000204261,PSMB8-AS1
3167,1555854_at,0.0036042849964951352,1.4238999999999997,ENSG00000151632,AKR1C2
3168,1555854_at,0.0036042849964951352,1.4238999999999997,ENSG00000187134,AKR1C1
3234,1555938_x_at,0.008450439644589657,1.0011416666666664,,
3431,1556205_at,0.014460077586740089,1.0341208333333327,,
3469,1556253_s_at,0.04627305667931119,1.0060249999999993,,
3757,1556643_at,0.0015797251536367168,1.305529166666667,ENSG00000282851,BISPR
3986,1556935_at,0.014587276142103863,1.538379166666668,ENSG00000271208,
4123,1557116_at,0.0001666238752770483,1.7389458333333323,ENSG00000221963,APOL6
4356,1557422_at,0.01473029573184871,1.211545833333334,,
5001,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000281947,IGHEP1
5002,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000276192,IGHE
5003,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000253692,IGHEP1
5004,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000211891,IGHE
5268,1558827_a_at,0.015019634227726236,1.0359416666666663,ENSG00000124203,ZNF831
5372,1558972_s_at,0.004580822502194838,1.931133333333333,ENSG00000275122,THEMIS
5373,1558972_s_at,0.004580822502194838,1.931133333333333,ENSG00000172673,THEMIS
5577,1559263_s_at,0.00040342074718090567,1.6680875000000004,ENSG00000178199,ZC3H12D
5592,1559282_at,0.023673442873482962,1.3570083333333338,,
5648,1559369_at,0.01541550405913624,1.007275,ENSG00000113597,TRAPPC13
5791,1559584_a_at,0.0003545930031425539,1.7845583333333348,ENSG00000185905,C16orf54
6464,1560697_at,0.0016010354996128817,1.7594041666666662,ENSG00000236333,TRHDE-AS1
6465,1560698_a_at,0.002790152480834899,1.6517333333333335,ENSG00000236333,TRHDE-AS1
7530,1562194_at,0.00045759644644330154,1.2662416666666667,,
7564,1562249_at,0.03351641826761083,1.0681916666666664,ENSG00000285468,EPHA1-AS1
7565,1562249_at,0.03351641826761083,1.0681916666666664,ENSG00000229153,EPHA1-AS1
7644,1562364_at,0.006371575676259464,1.6614624999999998,,
8381,1563473_at,0.03515300720904117,1.007200000000001,,
8658,1564077_at,0.0030182291003681356,1.3077,,
9998,1567627_at,0.00038640979880724663,1.2064458333333334,,
10452,1569112_at,0.04642836889239871,1.2521416666666667,ENSG00000137968,SLC44A5
13385,201858_s_at,0.014710449629832999,1.055483333333334,ENSG00000122862,SRGN
13765,202191_s_at,0.019817737585999057,1.0384250000000002,ENSG00000007237,GAS7
13793,202218_s_at,0.023502386606542948,1.0030708333333322,ENSG00000134824,FADS2
13864,202270_at,0.03562993162352885,1.2735833333333337,ENSG00000117228,GBP1
13902,202307_s_at,0.0006951125625178754,1.056049999999999,ENSG00000226173,TAP1
