,ID_REF,P0 vs P12 pvalue,P0 vs P12 log2fc,Ensembl_ID,Gene_Name
1144,1553537_at,0.0019294627803898023,1.3378749999999995,ENSG00000186049,KRT73
1882,1554398_at,0.0007180028374021457,2.3829000000000002,ENSG00000185674,LYG2
2219,1554766_s_at,0.011416295812138108,2.1041124999999994,,
2977,1555673_at,0.01870785747847216,4.5479125,ENSG00000292034,KRTAP2-3
2978,1555673_at,0.01870785747847216,4.5479125,ENSG00000262862,KRTAP2-3
2979,1555673_at,0.01870785747847216,4.5479125,ENSG00000212724,KRTAP2-3
3068,1555775_a_at,0.0004392191862691741,1.3852624999999996,ENSG00000182223,ZAR1
3597,1556410_a_at,0.03342003751765991,3.672412500000001,ENSG00000184351,KRTAP19-1
4091,1557068_at,0.02360617794420008,1.0787999999999998,ENSG00000262603,
4092,1557068_at,0.02360617794420008,1.0787999999999998,ENSG00000292030,
4093,1557068_at,0.02360617794420008,1.0787999999999998,ENSG00000234859,
4273,1557321_a_at,0.012383270402765406,1.0054249999999998,ENSG00000214711,CAPN14
6634,1560897_a_at,0.003283577617330465,4.0319625,ENSG00000243489,KRTAP10-11
6980,1561330_at,0.0029171809251770683,3.5502874999999996,ENSG00000175065,DSG4
7822,1562629_a_at,0.0014783396025174727,2.8390499999999994,ENSG00000262845,KRT40
7823,1562629_a_at,0.0014783396025174727,2.8390499999999994,ENSG00000204889,KRT40
8838,1564435_a_at,0.0013048543402530163,1.8491874999999993,ENSG00000170486,KRT72
9030,1564921_at,0.020002785056187012,2.7071249999999996,ENSG00000198390,KRTAP13-1
9041,1564960_at,0.001092948747330533,5.189475,ENSG00000274749,KRTAP7-1
9048,1564974_at,0.006099867487116514,6.032375,ENSG00000183640,KRTAP8-1
13737,202166_s_at,0.0021108292205864617,1.2638749999999996,ENSG00000184203,PPP1R2
14649,202886_s_at,0.006299464901660109,1.1378624999999998,ENSG00000137713,PPP2R1B
15166,203304_at,0.0040030016936393655,1.6388250000000006,ENSG00000095739,BAMBI
16881,204720_s_at,0.002529102979816388,1.9577624999999976,ENSG00000116675,DNAJC6
17592,205289_at,0.013109768979733979,1.5667875000000002,ENSG00000125845,BMP2
17684,205374_at,0.002558183305233289,1.2425999999999995,ENSG00000170290,SLN
18513,206027_at,0.005508748085207846,2.9579625000000007,ENSG00000188015,S100A3
18758,206224_at,0.012728545598030229,1.5256999999999996,ENSG00000170373,CST1
19070,206479_at,0.030426175377064036,1.0086250000000003,ENSG00000274965,TRPM1
19071,206479_at,0.030426175377064036,1.0086250000000003,ENSG00000134160,TRPM1
19325,206677_at,0.03924769217877659,3.0791749999999993,ENSG00000262993,KRT31
19326,206677_at,0.03924769217877659,3.0791749999999993,ENSG00000292029,KRT31
19327,206677_at,0.03924769217877659,3.0791749999999993,ENSG00000094796,KRT31
19689,206969_at,0.04754791718313716,3.661274999999998,ENSG00000262045,KRT34
19690,206969_at,0.04754791718313716,3.661274999999998,ENSG00000262748,
19691,206969_at,0.04754791718313716,3.661274999999998,ENSG00000292033,KRT34
19692,206969_at,0.04754791718313716,3.661274999999998,ENSG00000131737,KRT34
19719,206987_x_at,0.015490322112180124,1.1160875000000008,ENSG00000156427,FGF18
19726,206994_at,0.002789455275686786,1.0117000000000003,ENSG00000101441,CST4
19952,207146_at,0.015261041452130957,3.141462500000001,ENSG00000108759,KRT32
19953,207147_at,0.001582118113563469,2.047575,ENSG00000115844,DLX2
20395,207457_s_at,0.028594996985790617,3.5569375,ENSG00000259101,LY6G6F-LY6G6D
20396,207457_s_at,0.028594996985790617,3.5569375,ENSG00000225993,LY6G6D
20397,207457_s_at,0.028594996985790617,3.5569375,ENSG00000258635,LY6G6F-LY6G6D
20398,207457_s_at,0.028594996985790617,3.5569375,ENSG00000226603,LY6G6D
20399,207457_s_at,0.028594996985790617,3.5569375,ENSG00000234443,LY6G6D
20400,207457_s_at,0.028594996985790617,3.5569375,ENSG00000236902,LY6G6D
20401,207457_s_at,0.028594996985790617,3.5569375,ENSG00000206402,LY6G6D
