ID_REF	VALUE
1007_s_at	10.5092
1053_at	6.562
117_at	4.7661
121_at	3.7721
1255_g_at	2.395
1294_at	5.8424
1316_at	5.5469
1320_at	4.9749
1405_i_at	5.6032
1431_at	4.5654
1438_at	3.915
1487_at	8.9054
1494_f_at	3.028
1552256_a_at	5.0549
1552257_a_at	10.1757
1552258_at	3.4785
1552261_at	3.276
1552263_at	5.7056
1552264_a_at	5.1339
1552266_at	2.5076
1552269_at	2.5303
1552271_at	2.7345
1552272_a_at	3.6381
1552274_at	4.3808
1552275_s_at	5.5004
1552276_a_at	3.0907
1552277_a_at	6.3941
1552278_a_at	2.8727
1552279_a_at	3.1187
1552280_at	2.6118
1552281_at	3.0117
1552283_s_at	7.7654
1552286_at	6.4538
1552287_s_at	9.1837
1552288_at	3.0481
1552289_a_at	2.5447
1552291_at	9.1277
1552293_at	3.8404
1552295_a_at	3.5745
1552296_at	3.4907
1552299_at	4.2798
1552301_a_at	3.6909
1552302_at	5.2082
1552303_a_at	3.0833
1552304_at	3.029
1552306_at	4.7196
1552307_a_at	5.8726
1552309_a_at	8.6302
1552310_at	6.6789
1552311_a_at	3.5499
1552312_a_at	3.5722
1552314_a_at	3.3317
1552315_at	2.6945
1552316_a_at	4.5362
1552318_at	4.2156
1552319_a_at	4.702
1552320_a_at	3.662
1552321_a_at	2.8349
1552322_at	3.5988
1552323_s_at	5.1559
1552325_at	3.057
1552326_a_at	3.1194
1552327_at	5.4907
1552329_at	7.6938
1552330_at	5.6917
1552332_at	3.9569
1552334_at	7.8994
1552335_at	2.9556
1552337_s_at	2.338
1552338_at	2.4327
1552340_at	2.9087
1552343_s_at	6.546
1552344_s_at	3.5334
1552347_at	6.8278
1552348_at	3.4369
1552349_a_at	2.8272
1552354_at	2.3074
1552355_s_at	3.3268
1552359_at	3.4977
1552360_a_at	9.0977
1552362_a_at	5.0374
1552364_s_at	2.527
1552365_at	5.4154
1552367_a_at	3.578
1552368_at	1.8969
1552370_at	6.715
1552372_at	2.0338
1552373_s_at	2.9491
1552375_at	5.4106
1552377_s_at	4.3164
1552378_s_at	3.6645
1552379_at	2.6507
1552381_at	3.4537
1552383_at	4.227
1552384_a_at	2.9195
1552386_at	2.4936
1552388_at	2.7913
1552389_at	3.838
1552390_a_at	3.2709
1552391_at	3.6979
1552393_at	3.074
1552394_a_at	3.1075
1552395_at	2.1251
1552396_at	3.63
1552398_a_at	3.9579
1552399_a_at	3.1911
1552400_a_at	4.8007
1552401_a_at	3.9047
1552402_at	3.5524
1552405_at	2.4611
1552408_at	1.9212
1552409_a_at	3.4907
1552410_at	4.4372
1552411_at	1.8001
1552412_a_at	2.3509
1552414_at	3.1173
1552415_a_at	2.5426
1552417_a_at	3.7442
1552418_at	3.1033
1552419_s_at	2.4443
1552421_a_at	2.3448
1552422_at	4.4746
1552423_at	5.4345
1552424_at	2.5404
1552425_a_at	3.8586
1552426_a_at	12.3351
1552427_at	3.9839
1552430_at	2.6099
1552432_at	2.7781
1552436_a_at	2.177
1552438_a_at	2.3925
1552439_s_at	2.7977
1552440_at	3.3351
1552445_a_at	1.8446
1552448_a_at	2.0066
1552449_a_at	2.2291
1552450_a_at	2.3139
1552452_at	2.3901
1552453_a_at	3.4147
1552455_at	3.6025
1552456_a_at	2.7798
1552457_a_at	3.0564
1552458_at	2.6314
1552459_a_at	2.441
1552461_at	2.0483
1552463_at	2.616
1552466_x_at	3.4699
1552467_at	2.8369
1552468_a_at	2.7029
1552470_a_at	2.8779
1552472_a_at	6.3665
1552473_at	3.3979
1552474_a_at	4.7792
1552476_s_at	2.7074
1552477_a_at	7.6656
1552478_a_at	5.1218
1552480_s_at	3.3782
1552481_s_at	8.5572
1552482_at	4.6001
1552484_at	2.5752
1552485_at	4.3457
1552486_s_at	5.5113
1552487_a_at	7.2942
1552489_s_at	2.3464
1552490_at	2.656
