ID_REF	VALUE
1007_s_at	10.4015
1053_at	6.8159
117_at	4.7337
121_at	3.2856
1255_g_at	2.4955
1294_at	5.3242
1316_at	5.5457
1320_at	4.9908
1405_i_at	4.9829
1431_at	4.1885
1438_at	3.8499
1487_at	9.1586
1494_f_at	2.6086
1552256_a_at	4.8916
1552257_a_at	10.3952
1552258_at	3.5946
1552261_at	3.6354
1552263_at	5.8918
1552264_a_at	5.4881
1552266_at	2.7769
1552269_at	3.0739
1552271_at	2.7941
1552272_a_at	3.2937
1552274_at	4.4632
1552275_s_at	6.2967
1552276_a_at	3.0377
1552277_a_at	7.3462
1552278_a_at	3.1093
1552279_a_at	2.8858
1552280_at	2.4896
1552281_at	3.0117
1552283_s_at	6.5322
1552286_at	5.9507
1552287_s_at	9.5061
1552288_at	2.8231
1552289_a_at	2.3834
1552291_at	9.1992
1552293_at	3.4693
1552295_a_at	3.6694
1552296_at	3.4909
1552299_at	4.2336
1552301_a_at	3.4687
1552302_at	6.3282
1552303_a_at	3.8802
1552304_at	2.722
1552306_at	4.4574
1552307_a_at	5.662
1552309_a_at	8.6244
1552310_at	6.409
1552311_a_at	3.2379
1552312_a_at	3.0287
1552314_a_at	4.3158
1552315_at	2.7163
1552316_a_at	3.4751
1552318_at	4.0407
1552319_a_at	6.4697
1552320_a_at	3.7273
1552321_a_at	3.3777
1552322_at	3.4488
1552323_s_at	4.5198
1552325_at	2.6542
1552326_a_at	2.8192
1552327_at	4.8882
1552329_at	8.1772
1552330_at	4.802
1552332_at	4.0377
1552334_at	8.3844
1552335_at	2.6716
1552337_s_at	2.4269
1552338_at	2.588
1552340_at	3.012
1552343_s_at	6.3565
1552344_s_at	3.7208
1552347_at	6.5784
1552348_at	3.2633
1552349_a_at	2.9215
1552354_at	2.2291
1552355_s_at	3.2174
1552359_at	2.9061
1552360_a_at	7.7996
1552362_a_at	4.3316
1552364_s_at	2.8929
1552365_at	5.8814
1552367_a_at	3.8166
1552368_at	2.2381
1552370_at	6.5521
1552372_at	2.0702
1552373_s_at	2.3312
1552375_at	5.1389
1552377_s_at	5.7632
1552378_s_at	3.4459
1552379_at	2.6432
1552381_at	3.9104
1552383_at	4.172
1552384_a_at	2.6665
1552386_at	2.2807
1552388_at	2.9354
1552389_at	3.6676
1552390_a_at	3.5972
1552391_at	3.4041
1552393_at	3.3888
1552394_a_at	3.6058
1552395_at	1.9998
1552396_at	3.4284
1552398_a_at	4.6493
1552399_a_at	3.1908
1552400_a_at	4.8228
1552401_a_at	3.8305
1552402_at	3.404
1552405_at	2.1951
1552408_at	1.9397
1552409_a_at	3.4247
1552410_at	4.1788
1552411_at	1.6718
1552412_a_at	2.4921
1552414_at	2.9866
1552415_a_at	2.4773
1552417_a_at	3.6817
1552418_at	2.9184
1552419_s_at	2.3063
1552421_a_at	2.1085
1552422_at	3.1474
1552423_at	5.5296
1552424_at	2.5272
1552425_a_at	3.3463
1552426_a_at	12.0821
1552427_at	3.4931
1552430_at	2.3196
1552432_at	2.9216
1552436_a_at	2.488
1552438_a_at	2.3298
1552439_s_at	2.9938
1552440_at	2.6665
1552445_a_at	1.8018
1552448_a_at	2.0006
1552449_a_at	2.1567
1552450_a_at	2.2714
1552452_at	2.1232
1552453_a_at	3.2837
1552455_at	3.5939
1552456_a_at	2.819
1552457_a_at	3.0184
1552458_at	2.581
1552459_a_at	2.2744
1552461_at	2.0267
1552463_at	2.3064
1552466_x_at	3.2732
1552467_at	2.7253
1552468_a_at	2.9241
1552470_a_at	2.7752
1552472_a_at	6.5912
1552473_at	3.2182
1552474_a_at	4.3508
1552476_s_at	2.5435
1552477_a_at	6.8546
1552478_a_at	4.8055
1552480_s_at	3.4128
1552481_s_at	8.4225
1552482_at	4.565
1552484_at	2.7145
1552485_at	5.3482
1552486_s_at	6.0344
1552487_a_at	7.0168
1552489_s_at	2.517
1552490_at	3.015
1552491_at	6.8895
1552493_s_at	2.9068
1552494_at	3.5507
1552496_a_at	4.949
1552497_a_at	3.1405
1552498_at	2.4336
1552499_a_at	2.8657
1552501_a_at	3.1987
1552502_s_at	5.4581
1552503_at	2.5159
1552504_a_at	2.6637
1552506_at	2.2064
1552507_at	2.7818
1552508_at	2.6931
1552509_a_at	8.3987
1552510_at	3.0137
1552511_a_at	2.5374
1552514_at	3.0335
1552515_at	2.785
1552516_a_at	2.7585
1552518_s_at	4.5779
1552519_at	5.2442
1552520_at	3.3939
1552521_a_at	2.4582
1552522_at	2.0757
1552523_a_at	2.7116
1552524_at	2.4401
1552526_at	2.7479
1552528_at	3.0242
1552531_a_at	3.4983
1552532_a_at	11.5162
1552535_at	3.1384
1552536_at	7.2364
1552538_a_at	3.0091
1552540_s_at	4.343
1552541_at	3.324
1552542_s_at	2.2848
1552543_a_at	2.7747
1552544_at	10.8458
1552546_a_at	3.6081
1552548_at	2.523
1552549_a_at	3.0224
1552552_s_at	2.6471
1552553_a_at	4.3196
1552554_a_at	2.4101
1552555_at	3.0865
1552557_a_at	4.2121
1552558_a_at	2.8625
1552559_a_at	2.4188
1552562_at	3.6862
1552563_a_at	2.4559
1552564_at	2.9081
1552566_at	4.7482
1552568_at	2.5137
1552569_a_at	2.7744
1552570_at	3.224
1552572_a_at	2.7646
1552573_s_at	2.9722
1552575_a_at	7.3968
1552576_at	3.1144
1552578_a_at	2.7963
1552579_a_at	2.8739
1552580_at	2.8938
1552582_at	1.8302
1552583_s_at	2.6173
1552584_at	6.7334
1552585_s_at	2.6473
1552586_at	2.8711
1552587_at	1.676
1552588_a_at	1.8075
1552590_a_at	1.9272
1552592_at	2.7792
1552594_at	3.3382
1552596_at	2.7852
1552598_at	2.3729
1552599_at	2.1296
1552602_at	2.7933
1552604_at	2.3622
1552605_s_at	2.4428
1552607_at	6.2536
1552608_at	2.8981
1552609_s_at	2.6636
1552610_a_at	5.511
1552611_a_at	6.3164
1552612_at	5.787
1552613_s_at	6.4495
1552615_at	4.2058
1552616_a_at	2.9088
1552617_a_at	5.8476
1552618_at	5.4039
1552619_a_at	4.4414
1552620_at	12.3057
1552621_at	7.2406
1552622_s_at	8.5254
1552623_at	2.6401
1552625_a_at	5.9682
1552626_a_at	2.994
1552627_a_at	3.8957
1552628_a_at	9.0927
1552629_a_at	2.1904
1552630_a_at	2.9119
1552631_a_at	4.0115
1552632_a_at	3.9785
1552633_at	3.8771
1552634_a_at	6.1255
1552637_at	2.4956
1552639_at	2.7748
1552641_s_at	3.4064
1552643_at	5.8344
1552644_a_at	3.5353
1552646_at	6.2094
1552648_a_at	3.265
1552649_a_at	3.0414
1552651_a_at	3.0917
1552652_at	4.451
1552656_s_at	3.0004
1552657_a_at	2.8001
1552658_a_at	6.323
1552660_a_at	2.8987
1552661_at	2.8488
1552662_a_at	2.3623
1552663_a_at	2.6796
1552664_at	11.3729
1552665_at	2.9564
1552666_a_at	2.4706
1552667_a_at	3.6663
1552669_at	2.3836
1552670_a_at	3.2058
1552671_a_at	4.8917
1552672_a_at	3.4795
1552673_at	1.9616
1552674_at	2.6154
1552675_at	3.1775
1552676_at	2.9005
1552677_a_at	3.5181
1552678_a_at	3.3875
1552680_a_at	2.8619
1552682_a_at	2.4179
1552684_a_at	3.0605
1552685_a_at	7.7143
1552686_at	2.4213
1552687_a_at	2.8351
1552689_at	9.9757
1552690_a_at	2.9375
1552691_at	2.4652
1552693_at	2.4412
1552694_at	3.6752
1552695_a_at	3.9871
1552696_at	3.1119
1552698_at	2.4999
1552701_a_at	6.4966
1552703_s_at	8.2885
1552705_at	3.4752
1552708_a_at	2.8792
1552711_a_at	7.2558
1552712_a_at	7.666
1552713_a_at	2.2031
1552714_at	2.3607
1552715_a_at	2.1298
1552716_at	4.1037
1552717_s_at	3.113
1552718_at	4.0678
1552719_at	4.0829
1552721_a_at	2.8274
1552722_at	2.5764
1552724_at	3.7493
1552725_s_at	2.6211
1552726_at	7.1107
1552727_s_at	6.9899
1552729_at	3.8507
1552730_at	2.7681
1552731_at	3.0598
1552732_at	2.7277
1552733_at	7.7018
1552734_at	3.4785
1552735_at	5.1899
1552736_a_at	2.1489
1552737_s_at	3.1331
1552738_a_at	3.7891
1552739_s_at	7.4355
1552740_at	4.5038
1552742_at	5.517
1552743_at	2.9797
1552745_at	2.099
1552747_a_at	3.099
1552749_a_at	3.6093
1552750_at	2.0654
1552751_a_at	2.5812
1552752_a_at	2.9863
1552754_a_at	6.2617
1552755_at	4.1295
1552757_s_at	2.2666
1552758_at	3.0365
1552760_at	2.511
1552761_at	3.1632
1552763_at	3.2168
1552765_x_at	3.3409
1552766_at	2.274
1552767_a_at	5.2549
1552768_at	2.7884
1552769_at	3.4867
1552770_s_at	3.9419
1552771_a_at	2.6877
1552772_at	3.0193
1552773_at	3.1554
1552774_a_at	6.218
1552775_at	2.6077
1552777_a_at	4.3301
1552779_a_at	2.4374
1552782_at	3.5063
1552783_at	2.6901
1552785_at	4.2026
1552787_at	3.5187
1552788_a_at	3.1381
1552789_at	9.0907
1552790_a_at	9.0458
1552791_a_at	2.1996
1552792_at	3.0284
1552793_at	2.2421
1552794_a_at	5.2576
1552796_a_at	2.1117
1552797_s_at	13.0037
1552798_a_at	2.7845
1552799_at	3.6943
1552800_at	2.6502
1552801_at	1.9185
1552803_a_at	4.9593
1552804_a_at	3.7101
1552806_a_at	3.2575
1552807_a_at	5.7409
1552808_at	2.7544
1552809_at	2.4623
1552811_at	3.8004
1552812_a_at	2.7073
1552813_at	3.1126
1552814_a_at	2.5584
1552816_at	2.4961
1552818_a_at	2.7889
1552819_at	2.5146
1552822_at	3.2398
1552825_at	2.8736
1552826_at	2.9921
1552827_s_at	2.2846
1552828_at	2.4637
1552829_at	7.0405
1552830_at	2.7146
1552833_at	3.2048
1552834_at	3.5214
1552835_at	2.7286
1552836_at	3.3085
1552837_at	2.5819
1552839_at	2.6963
1552841_s_at	2.1539
1552842_at	2.7111
1552843_at	2.7134
1552845_at	3.3708
1552846_s_at	4.1467
1552848_a_at	2.8723
1552849_at	2.3848
1552851_at	2.465
1552852_a_at	3.109
1552853_at	2.583
1552854_a_at	2.7857
1552856_at	2.9245
1552857_a_at	2.5963
1552858_at	1.915
1552860_at	2.4138
1552862_at	9.9095
1552863_a_at	2.1515
1552865_a_at	2.8191
1552867_at	3.4442
1552868_at	2.7905
1552870_s_at	5.4393
1552872_at	3.3898
1552873_s_at	2.9421
1552875_a_at	2.4824
1552876_at	2.0789
1552877_s_at	2.1709
1552878_at	1.8848
1552879_a_at	3.4265
1552880_at	3.201
1552882_a_at	6.1221
1552884_at	2.621
1552885_a_at	3.2093
1552887_at	3.5807
1552889_a_at	3.7309
1552890_a_at	3.1224
1552892_at	3.0041
1552893_at	2.8553
1552895_a_at	2.5422
1552897_a_at	3.2161
1552898_a_at	2.3998
1552899_at	2.4494
1552900_a_at	2.2996
1552902_a_at	2.4729
1552903_at	2.8267
1552904_at	1.9485
1552906_at	2.6244
1552908_at	3.7157
1552910_at	2.1925
1552911_at	2.8749
1552912_a_at	1.7
1552913_at	2.3364
1552914_a_at	3.6576
1552915_at	2.3862
1552917_at	2.7913
1552919_at	2.564
1552921_a_at	3.9836
1552922_at	1.9628
1552923_a_at	2.7105
1552924_a_at	4.4676
1552925_at	2.1482
1552927_at	3.3853
1552928_s_at	2.9332
1552929_at	2.217
1552930_at	4.6282
1552931_a_at	4.6695
1552932_at	2.3967
1552933_at	2.8226
1552935_at	3.6485
1552937_s_at	4.0145
1552938_at	2.7963
1552939_at	2.2763
1552940_at	2.6779
1552942_at	2.7336
1552943_at	1.7168
1552944_a_at	2.9033
1552946_at	3.5363
1552947_x_at	3.5653
1552948_at	2.7623
1552950_at	1.9946
1552952_at	2.8319
1552953_a_at	2.9046
1552954_at	2.7499
1552955_at	2.6108
1552957_at	2.4745
1552960_at	3.4561
1552961_at	2.4222
1552964_at	2.2668
1552965_a_at	2.5421
1552967_at	2.6013
1552969_a_at	2.8182
1552970_s_at	2.7946
1552971_at	2.3901
1552972_at	2.1356
1552973_at	2.4971
1552974_at	2.7467
1552975_x_at	3.8822
1552976_at	2.4925
1552977_a_at	4.9539
1552978_a_at	3.1137
1552979_at	3.1481
1552980_at	10.9426
1552982_a_at	2.3453
1552985_at	2.855
1552986_at	3.2583
1552987_a_at	1.7815
