,ID_REF,C vs P12 pvalue,C vs P12 log2fc,Ensembl_ID,Gene_Name
204,1552487_a_at,0.007005385953020453,-1.0034708333333349,ENSG00000169594,BNC1
332,1552626_a_at,0.00014723595369867335,-1.7051125000000003,ENSG00000152128,TMEM163
894,1553288_a_at,0.029632104267336375,-1.1527708333333333,ENSG00000166924,NYAP1
983,1553388_at,9.518184609829647e-05,-1.2486625000000005,ENSG00000164451,CALHM4
1345,1553710_at,0.013605440891533004,-1.312920833333333,ENSG00000250486,FAM218A
1346,1553711_a_at,0.012269670124612995,-1.0966250000000004,ENSG00000250486,FAM218A
1423,1553829_at,0.007255319143239384,-1.4706291666666669,ENSG00000232973,CYP1B1-AS1
1469,1553882_at,0.0018264127216284622,-1.232029166666667,ENSG00000248360,LINC00504
2072,1554592_a_at,0.02620405938211203,-1.0487166666666674,ENSG00000105143,SLC1A6
2157,1554703_at,0.0025737108369563795,-1.0013583333333331,ENSG00000274726,ARHGEF10
2158,1554703_at,0.0025737108369563795,-1.0013583333333331,ENSG00000104728,ARHGEF10
2776,1555416_a_at,0.047851888962320725,1.66195,ENSG00000179593,ALOX15B
3046,1555749_at,0.012564203626556063,-1.10365,ENSG00000168066,SF1
3167,1555854_at,0.001093044342730317,1.5660874999999992,ENSG00000151632,AKR1C2
3168,1555854_at,0.001093044342730317,1.5660874999999992,ENSG00000187134,AKR1C1
5001,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000281947,IGHEP1
5002,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000276192,IGHE
5003,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000253692,IGHEP1
5004,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000211891,IGHE
6464,1560697_at,0.045126271446101915,1.6746541666666666,ENSG00000236333,TRHDE-AS1
6698,1560981_a_at,0.010998781315046403,1.0917458333333339,ENSG00000186951,PPARA
10452,1569112_at,0.036082795763676866,1.405454166666667,ENSG00000137968,SLC44A5
12440,201110_s_at,0.02818834275654352,-1.2962708333333328,ENSG00000137801,THBS1
13552,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000167315,ACAA2
13553,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000207367,RNU6-29P
13554,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000233585,ACAA2P1
13737,202166_s_at,0.023916626705456644,-1.3765666666666672,ENSG00000184203,PPP1R2
13775,202201_at,0.007541875065937911,1.1434333333333333,ENSG00000090013,BLVRB
14009,202376_at,0.01330965663554389,-1.5610791666666657,ENSG00000196136,SERPINA3
14102,202435_s_at,0.0303724140617876,-1.3443291666666664,ENSG00000138061,CYP1B1
14103,202436_s_at,0.008969887076914837,-1.3313083333333342,ENSG00000138061,CYP1B1
