,ID_REF,P0 vs P12 pvalue,P0 vs P12 log2fc,Ensembl_ID,Gene_Name
15,1405_i_at,0.0001272849451400509,-1.281625,ENSG00000274233,CCL5
16,1405_i_at,0.0001272849451400509,-1.281625,ENSG00000271503,CCL5
278,1552584_at,0.00016260636271740064,-2.0416875,ENSG00000096996,IL12RB1
1144,1553537_at,0.0019294627803898023,1.3378749999999995,ENSG00000186049,KRT73
1755,1554240_a_at,0.0013508379245984652,-1.1506625000000006,ENSG00000005844,ITGAL
1882,1554398_at,0.0007180028374021457,2.3829000000000002,ENSG00000185674,LYG2
2332,1554899_s_at,0.0026822321313287644,-1.1628125000000002,ENSG00000158869,FCER1G
2977,1555673_at,0.01870785747847216,4.5479125,ENSG00000292034,KRTAP2-3
2978,1555673_at,0.01870785747847216,4.5479125,ENSG00000262862,KRTAP2-3
2979,1555673_at,0.01870785747847216,4.5479125,ENSG00000212724,KRTAP2-3
3068,1555775_a_at,0.0004392191862691741,1.3852624999999996,ENSG00000182223,ZAR1
3151,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000235540,PSMB8-AS1
3152,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000231591,PSMB8-AS1
3153,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000206232,PSMB8-AS1
3154,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000233089,PSMB8-AS1
3155,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000206296,PSMB8-AS1
3156,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000234365,PSMB8-AS1
3157,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000233140,PSMB8-AS1
3158,1555852_at,0.002224334504427468,-1.0090374999999998,ENSG00000204261,PSMB8-AS1
3597,1556410_a_at,0.03342003751765991,3.672412500000001,ENSG00000184351,KRTAP19-1
4273,1557321_a_at,0.012383270402765406,1.0054249999999998,ENSG00000214711,CAPN14
4789,1558034_s_at,0.04264542618324285,-1.1138124999999999,ENSG00000047457,CP
5372,1558972_s_at,0.0012275420559120806,-1.5032124999999996,ENSG00000275122,THEMIS
5373,1558972_s_at,0.0012275420559120806,-1.5032124999999996,ENSG00000172673,THEMIS
